supplierFK,productFK,documentFK,dateFK,quantity,price,remise,total_ht,tva,timbre
28,6307,1425,20251118,0,0,0,1351,0,0
87,6307,1429,20250908,0,0,0,"418,8",0,0
83,6307,0,20251210,0,0,0,440,0,0
88,6307,1360,20251208,0,0,0,3995,0,0
88,6307,1361,20251208,0,0,0,"3437,5",0,0
88,6307,0,20251203,0,0,0,74,0,0
88,6307,1362,20251209,0,0,0,"2996,25",0,0
15,6307,0,20251215,0,0,0,1100,0,0
89,6307,0,20251215,0,0,0,1080,0,0
12,6307,0,20251215,0,0,0,525,0,0
12,6307,0,20251211,0,0,0,523,0,0
75,6307,0,20251201,0,0,0,"40,593",0,0
4,6307,0,20250901,0,0,0,2100,0,0
7,6307,0,20250901,0,0,0,1548,0,0
1,7214,0,-1,0,30,0,30,0,0
1,7215,0,-1,0,30,0,30,0,0
2,7216,0,-1,0,80,0,80,0,0
2,7217,0,-1,0,40,0,40,0,0
2,7218,0,-1,0,34,0,34,0,0
2,7219,0,-1,0,45,0,45,0,0
2,7220,0,-1,0,34,0,34,0,0
2,7221,0,-1,0,40,0,40,0,0
2,7222,0,-1,0,125,0,125,0,0
2,6704,0,-1,0,90,0,90,0,0
2,6698,0,-1,0,"16,5",0,"16,5",0,0
2,6699,0,-1,0,85,0,85,0,0
2,6692,0,-1,0,115,0,115,0,0
2,6700,0,-1,0,65,0,65,0,0
2,6647,0,-1,0,30,0,30,0,0
3,7320,0,-1,0,18,0,18,0,0
